"ID"	"Name"
"000100000402"	"Вершина 0"
"000100000403"	"Вершина 1"
"000100000412"	"Вершина 2"
"000100000413"	"Вершина 3"
"000100000414"	"Вершина 4"
"000100000427"	"Ребро 0 - 3"
"000100000429"	"Ребро 1 - 4"
"00010000042A"	"Ребро 3 - 4"
"00010000042B"	"Ребро 1 - 2"
"00010000042C"	"Ребро 2 - 4"
"00010000042D"	"Ребро 0 - 2"
"00010000042E"	"Ребро 0 - 1"
"00010000042F"	"Ребро 1 - 3"
"00010000043D"	"Вершина 5"
"00010000043E"	"Вершина 6"
"00010000043F"	"Вершина 7"
"000100000440"	"Вершина 8"
"000100000441"	"Вершина 9"
"000100000443"	"Ребро 0 - 9"
"000100000444"	"Ребро 8 - 9"
"000100000445"	"Ребро 5 - 8"
"000100000446"	"Ребро 5 - 7"
"000100000447"	"Ребро 3 - 5"
"000100000448"	"Ребро 4 - 6"
"000100000449"	"Ребро 3 - 6"
"00010000044A"	"Ребро 6 - 7"
"00010000044B"	"Ребро 7 - 8"
"00010000044D"	"Вершина 10"
"00010000044E"	"Ребро 7 - 10"
"00010000044F"	"Ребро 8 - 10"
"000100000452"	""
